Organism	Protein	COG	Cat	Annotation
177	209	COG0170	M O	Dolichol kinase
1205	2849	COG0329	M E	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase
766	1122	COG0381	M	UDP-N-acetylglucosamine 2-epimerase
538	777	COG0392	M	Predicted membrane flippase AglD2/YbhN, UPF0104 family
1001	2677	COG0399	M	dTDP-4-amino-4,6-dideoxygalactose transaminase
169	188	COG0434	M	Membrane biogenesis protein, BtpA/SgcQ family
1243	16297	COG0438	M	Glycosyltransferase involved in cell wall bisynthesis
1221	1494	COG0449	M	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains
1209	9020	COG0451	M	Nucleoside-diphosphate-sugar epimerase
1244	9697	COG0463	M	Glycosyltransferase involved in cell wall bisynthesis
707	1596	COG0464	D T M	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family
1207	2191	COG0472	M	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
257	272	COG0562	M	UDP-galactopyranose mutase
935	2119	COG0586	M	Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family
1147	1325	COG0597	M U	Lipoprotein signal peptidase
292	318	COG0615	M	Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family
1091	2439	COG0668	M	Small-conductance mechanosensitive channel
745	1001	COG0677	M	UDP-N-acetyl-D-mannosaminuronate dehydrogenase
1148	1371	COG0682	M	Prolipoprotein diacylglyceryltransferase
1171	1309	COG0706	M	Membrane protein insertase Oxa1/YidC/SpoIIIJ
1174	1572	COG0707	M	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase
1033	3492	COG0726	M G	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family
938	1142	COG0728	M	Lipid II flippase MurJ/MviN (peptidoglycan biosynthesis)
479	545	COG0729	M	Outer membrane translocation and assembly module TamA
1080	4115	COG0739	M	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain
895	2626	COG0741	M	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)
977	1992	COG0744	M	Penicillin-binding protein 1B/1F, peptidoglycan transglycosylase/transpeptidase
1114	1176	COG0759	M	Membrane-anchored protein YidD, putatitve component of membrane protein insertase Oxa1/YidC/SpoIIIJ
743	795	COG0763	M	Lipid A disaccharide synthetase
