Organism	Protein	COG	Cat	Annotation
799	1700	COG0022	C	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit
1068	1369	COG0039	C	Malate/lactate dehydrogenase
1026	1143	COG0045	C	Succinyl-CoA synthetase, beta subunit
1106	1196	COG0055	C	FoF1-type ATP synthase, beta subunit
1106	1194	COG0056	C	FoF1-type ATP synthase, alpha subunit
1046	1233	COG0074	C	Succinyl-CoA synthetase, alpha subunit
858	895	COG0114	C	Fumarate hydratase class II
923	994	COG0221	C	Inorganic pyrophosphatase
1109	1200	COG0224	C	FoF1-type ATP synthase, gamma subunit
1106	1254	COG0240	C	Glycerol-3-phosphate dehydrogenase
807	2752	COG0243	C	Anaerobic selenocysteine-containing dehydrogenase
984	2809	COG0247	C	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF
1056	4293	COG0277	C	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase
919	1587	COG0280	C	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)
1076	1544	COG0281	C	Malic enzyme
849	1016	COG0282	C	Acetate kinase
708	1299	COG0348	C	Polyferredoxin NapH
1109	1216	COG0355	C	FoF1-type ATP synthase, epsilon subunit
1107	1203	COG0356	C	FoF1-type ATP synthase, membrane subunit a
420	570	COG0371	C	Glycerol dehydrogenase or related enzyme, iron-containing ADH family
1065	1771	COG0372	C	Citrate synthase
295	473	COG0374	C	Ni,Fe-hydrogenase I large subunit
853	986	COG0377	C	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase
1167	3580	COG0388	C	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate
197	224	COG0401	C	Membrane potential modulator PMP3/YqaE, plasma membrane proteolipid 3 (PMP3)/Esi3/RCI2/UPF0057 family
487	814	COG0426	C	Flavorubredoxin
450	658	COG0427	C	Propionyl CoA:succinate CoA transferase
811	1869	COG0431	C	NAD(P)H-dependent FMN reductase
382	450	COG0435	C	Glutathionyl-hydroquinone reductase
707	2094	COG0437	C	Fe-S-cluster-containing dehydrogenase component (DMSO reductase)
1133	1843	COG0473	C E	Isocitrate/isopropylmalate dehydrogenase
1034	1328	COG0479	C	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
1050	3185	COG0508	C	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component
723	751	COG0538	C	Isocitrate dehydrogenase
804	1452	COG0543	C H	NAD(P)H-flavin reductase
1089	2893	COG0546	C	Phosphoglycolate phosphatase, HAD superfamily
870	1079	COG0554	C	Glycerol kinase
792	809	COG0567	C	2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes
759	1136	COG0578	C	Glycerol-3-phosphate dehydrogenase
944	4956	COG0604	C R	NADPH:quinone reductase or related Zn-dependent oxidoreductase
805	3229	COG0633	C	Ferredoxin
1048	1172	COG0636	C	FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K
929	2468	COG0644	C	Dehydrogenase (flavoprotein)
851	1015	COG0649	C	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
239	307	COG0650	C	Formate hydrogenlyase subunit HyfC
713	1356	COG0651	C P	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
785	4109	COG0654	C H	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases
776	1757	COG0655	C	Multimeric flavodoxin WrbA, includes NAD(P)H:quinone oxidoreductase
706	1517	COG0674	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit
411	653	COG0680	C	Ni,Fe-hydrogenase maturation factor
1103	1471	COG0711	C	FoF1-type ATP synthase, membrane subunit b or b'
1095	1118	COG0712	C	FoF1-type ATP synthase, delta subunit
830	948	COG0713	C	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
516	1103	COG0716	C	Flavodoxin
809	1207	COG0723	C	Rieske Fe-S protein
1160	3746	COG0778	C	Nitroreductase
592	882	COG0785	O C	Cytochrome c biogenesis protein CcdA
838	965	COG0838	C	NADH:ubiquinone oxidoreductase subunit 3 (chain A)
823	945	COG0839	C	NADH:ubiquinone oxidoreductase subunit 6 (chain J)
840	1515	COG0843	C	Heme/copper-type cytochrome/quinol oxidase, subunit 1
875	1066	COG0852	C	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
847	991	COG1005	C	NADH:ubiquinone oxidoreductase subunit 1 (chain H)
840	982	COG1007	C	NADH:ubiquinone oxidoreductase subunit 2 (chain N)
821	1134	COG1008	C	NADH:ubiquinone oxidoreductase subunit 4 (chain M)
992	1800	COG1009	C	Membrane H+-translocase/NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
705	1526	COG1013	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
851	2109	COG1014	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
