Organism	Protein	COG	Cat	Annotation
788	1263	COG0123	Q	Acetoin utilization deacetylase AcuC or a related deacetylase
514	996	COG0145	E Q	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
410	709	COG0146	E Q	N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit
990	2660	COG0179	Q	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
918	2049	COG0189	J E H Q	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily
1115	2826	COG0304	I Q	3-oxoacyl-(acyl-carrier-protein) synthase
1025	4763	COG0346	Q	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family
753	1814	COG0412	Q	Dienelactone hydrolase
1053	1477	COG0424	Q	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily
102	110	COG0500	Q R	SAM-dependent methyltransferase
726	1506	COG0656	Q	Aldo/keto reductase, related to diketogulonate reductase
447	2435	COG1020	Q	EntF, seryl-AMP synthase component of non-ribosomal peptide synthetase
172	199	COG1021	Q	EntE, 2,3-dihydroxybenzoate-AMP synthase component of non-ribosomal peptide synthetase
515	593	COG1169	H Q	Isochorismate synthase EntC
738	2043	COG1228	Q	Imidazolonepropionase or related amidohydrolase
653	1700	COG1233	Q	Phytoene dehydrogenase-related protein
188	218	COG1535	Q	Isochorismate hydrolase
69	71	COG1568	Q	Aminopropyltransferase BpsA, N(4)-bis(aminopropyl)spermidine biosynthesis
394	512	COG1647	Q	Esterase/lipase
164	394	COG1775	E Q	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB
496	749	COG1942	Q	Phenylpyruvate tautomerase PptA, 4-oxalocrotonate tautomerase family
140	191	COG2015	Q	Alkyl sulfatase BDS1 and related hydrolases, metallo-beta-lactamase superfamily
926	2750	COG2050	Q	Acyl-CoA thioesterase PaaI, contains HGG motif
527	2971	COG2124	V Q	Cytochrome P450
394	544	COG2130	Q R	NADPH-dependent curcumin reductase CurA
749	1794	COG2146	P Q	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
191	251	COG2162	Q	Arylamine N-acetyltransferase
299	695	COG2175	Q	Taurine dioxygenase, alpha-ketoglutarate-dependent
169	244	COG2312	Q	Erythromycin esterase homolog
328	672	COG2318	Q	Bacillithiol/mycothiol S-transferase BstA/DinB, DinB/YfiT family (unrelated to E. coli DinB)
621	901	COG2350	Q R	YciI superfamily enzyme, includes 5-CHQ dehydrochlorinase, contains active-site pHis
419	663	COG2366	Q	Acyl-homoserine lactone (AHL) acylase PvdQ
191	284	COG2368	Q	Aromatic ring hydroxylase
494	1005	COG2514	Q	Catechol-2,3-dioxygenase
365	1982	COG2931	Q	Ca2+-binding protein, RTX toxin-related
180	195	COG2977	Q	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)
568	726	COG3127	Q	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component
225	261	COG3135	Q	Predicted benzoate:H+ symporter BenE
28	31	COG3207	Q	Pyoverdine/dityrosine biosynthesis protein Dit1
209	447	COG3208	Q	Surfactin synthase thioesterase subunit
