Organism	Protein	COG	Cat	Annotation
1226	1532	COG0206	D	Cell division GTPase FtsZ
963	981	COG0218	D	GTP-binding protein EngB required for normal cell division
948	1284	COG0239	D P	Fluoride ion exporter CrcB/FEX, affects chromosome condensation
605	969	COG0455	D N	MinD-like ATPase FlhG/YlxH, activator of the FlhF-type GTPase
707	1596	COG0464	D T M	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family
1214	2985	COG0489	D	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family
868	2625	COG0535	D H	Radical SAM superfamily maturase, SkfB/NifB/PqqE family
1168	1168	COG0536	L D	GTPase involved in cell partioning and DNA repair
1142	2798	COG0768	D M	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2)
1142	2430	COG0772	D	Peptodoglycan polymerase FtsW/RodA/SpoVE
894	969	COG0849	D	Cell division ATPase FtsA
517	534	COG0850	D	Septum site-determining protein MinC
460	460	COG0851	D	Septum formation topological specificity factor MinE
945	1213	COG1077	D Z	Cell shape-determining ATPase MreB, actin-like superfamily
1145	3702	COG1192	D N	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ
1140	2650	COG1196	D	Chromosome segregation ATPase Smc
386	456	COG1300	D	Stage II sporulation protein SpoIIM, component of the engulfment complex
763	920	COG1426	D	Cytoskeletal protein RodZ, contains Xre-like HTH and DUF4115 domains
1112	2532	COG1475	D	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain
490	538	COG1485	D	Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily
1003	1005	COG1589	D	Cell division septal protein FtsQ
1097	1803	COG1674	D	DNA segregation ATPase FtsK/SpoIIIE or related protein
754	1387	COG1729	D	Cell division protein CpoB, coordinates peptidoglycan biosynthesis and outer membrane constriction
919	926	COG1792	D Z	Cell shape-determining protein MreC
380	424	COG1799	D	Cell division protein SepF/YlmF, interacts with FtsZ
186	221	COG2088	D	DNA-binding protein SpoVG, cell septation regulator
683	1526	COG2132	D M P	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA)
902	926	COG2177	D	Cell division protein FtsX
594	1091	COG2340	D R	Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain
88	88	COG2450	D	Predicted archaeal cell division protein, SepF family
335	344	COG2719	D	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)
945	3054	COG2755	D I	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK
232	243	COG2848	D	Uncharacterized conserved protein, UPF0210 family
888	902	COG2884	D	Cell division ATPase FtsE
527	538	COG2894	D	Septum site-determining ATPase MinD
397	410	COG2917	D	Intracellular septation protein A
716	718	COG2919	D	Cell division protein FtsB
84	84	COG3006	D	Chromosome condensin MukBEF, kleisin-like MukF subunit
590	595	COG3027	D	Cell division protein ZapA, inhibits GTPase activity of FtsZ
165	229	COG3061	D	Cell division protein YtfB/OapA (opacity-associated protein A)
130	131	COG3074	D	Cell division protein ZapB, interacts with FtsZ
492	669	COG3087	D	Cell division protein FtsN
84	82	COG3095	D	Chromosome condensin MukBEF, MukE localization factor
85	92	COG3096	D	Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB
138	137	COG3105	D	Membrane-anchored cell division protein YhcB, DUF1043 family
265	271	COG3115	D	Cell division protein ZipA, interacts with FtsZ
318	314	COG3116	D	Cell division protein FtsL, interacts with FtsB and FtsQ
382	464	COG3147	D	Cell division protein DedD (periplasmic protein involved in septation)
244	291	COG3266	D	Cell division protein DamX, binds to the septal ring, contains C-terminal SPOR domain
188	261	COG3314	D E	Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain
328	443	COG3599	D	Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD
131	155	COG3660	D	Mitochondrial fission protein ELM1
263	528	COG3773	D M	Cell wall hydrolase CwlJ, involved in spore germination
120	121	COG3827	D	Cell pole-organizing protein PopZ
171	174	COG3854	D	Stage III sporulation protein SpoIIIAA
247	470	COG3858	D	Spore cortex hydrolase SleL/YaaH, N-acetylglucosaminidase of GH18 family
91	147	COG4326	D	Stage 0 sporulation-control protein Spo0M
78	78	COG4477	D	Septation ring formation regulator EzrA
220	220	COG4582	D	Cell division protein ZapD, interacts with FtsZ
192	352	COG4641	D	Spore maturation protein CgeB
83	83	COG4839	D	Cell division protein FtsL
811	1126	COG4942	D	Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB
183	655	COG5184	D Z	Alpha-tubulin suppressor ATS1 and related RCC1 domain-containing proteins
15	19	COG5185	D	Chromosome segregation protein NDC80, interacts with SMC proteins
107	153	COG5279	D	Cytokinesis protein 3, contains TGc (transglutaminase/protease-like) domain
185	232	COG5401	D	Spore germination protein GerM
86	87	COG5404	D	Cell division inhibitor SulA, prevents FtsZ ring assembly
32	89	COG5491	D	Archaeal cell division protein CdvB, Snf7/Vps24/ESCRT-III family
115	128	COG5801	D T	Stage 0 sporulation initiation regulator Spo0A (response regulator, REC-HTH domains)
35	35	COG5802	D T	Stage 0 sporulation initiation phosphotransferase Spo0B
64	64	COG5803	D T	Stage 0 sporulation initiation response regulator Spo0F
76	197	COG5804	D T	Stage 0 sporulation regulatory phosphatase Spo0E
20	20	COG5805	D T	Sporulation sensor histidine kinase A (Stage II sporulation protein SpoIIF/SpoIIJ)
19	40	COG5806	D T	Sporulation sensor histidine kinase B
16	16	COG5807	D T	Sporulation sensor histidine kinase C
11	12	COG5808	D T	Sporulation sensor histidine kinase D
30	41	COG5809	D T	Sporulation sensor histidine kinase E
35	35	COG5810	D T	Sporulation protein KbaA, activator of histidine kinase KinB
100	99	COG5811	K D	Sporulation sigma factor SigE (mother cell-specific, SpoIIGB)
65	64	COG5812	K D	Sporulation sigma factor SigF (forespore-specific, SpoIIAC)
100	100	COG5813	K D	Sporulation sigma factor SigG (forespore-specific, SpoIIIG)
73	72	COG5814	K D	Sporulation sigma factor SigK (mother cell-specific, SpoIIIC/SpoIVCB)
97	99	COG5815	D T	Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor)
16	16	COG5816	D	Stage II sporulation protein SpoIIB (spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment)
109	127	COG5817	D	Stage II sporulation protein SpoIIE/SpoIIH (serine phosphatase - sigma-F activation)
96	96	COG5818	K D O	Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E)
106	154	COG5819	D	Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall
37	37	COG5820	D	Stage II sporulation protein SpoIIQ, required for engulfement
36	41	COG5821	D	Stage II sporulation protein SpoIIQ, clostridial version, metallopeptidase M23 family
107	110	COG5822	D	Stage II sporulation protein SpoIIR, required for processing of pro-sigma-E
93	93	COG5823	D	Stage III sporulation protein SpoIIIAB, component of the engulfment complex
107	108	COG5824	D	Stage III sporulation protein SpoIIIAC, component of the engulfment complex
101	101	COG5825	D	Stage III sporulation protein SpoIIIAD, component of the engulfment complex
107	107	COG5826	D	Stage III sporulation protein SpoIIIAE, component of the engulfment complex
78	78	COG5827	D	Stage III sporulation protein SpoIIIAF, component of the engulfment complex
