Organism	Protein	COG	Cat	Annotation
495	594	COG0393	S	Uncharacterized pentameric protein YbjQ, UPF0145 family
604	989	COG0398	S	Uncharacterized membrane protein YdjX, related to fungal oxalate transporter, TVP38/TMEM64 family
281	294	COG0700	S	Spore maturation protein SpmB (function unknown)
561	783	COG0701	S	Uncharacterized membrane protein YraQ, UPF0718 family
505	639	COG1238	S	Uncharacterized membrane protein YqaA, VTT domain
460	891	COG1284	S	Uncharacterized membrane-anchored protein YitT, contains DUF161 and DUF2179 domains
436	920	COG1289	S	Uncharacterized membrane protein YccC
985	1663	COG1295	S	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase)
300	682	COG1302	S	Uncharacterized conserved protein YloU, alkaline shock protein (Asp23) family
144	161	COG1340	S	Uncharacterized coiled-coil protein, contains DUF342 domain
678	2630	COG1357	S	Uncharacterized conserved protein YjbI, contains pentapeptide repeats
103	104	COG1415	S	Uncharacterized conserved protein, DUF763 domain
17	22	COG1417	S	Uncharacterized conserved protein, DUF22 domain
540	644	COG1430	S	Uncharacterized conserved membrane protein, UPF0127 family
195	283	COG1470	S	Uncharacterized membrane protein
39	42	COG1504	S	Uncharacterized conserved protein, DUF498 domain
174	173	COG1507	S	Uncharacterized conserved protein, DUF501 family
283	507	COG1511	S	Uncharacterized membrane protein YhgE, phage infection protein (PIP) family
511	625	COG1512	S	Uncharacterized membrane protein YgcG, contains a TPM-fold domain
57	57	COG1531	S	Uncharacterized conserved protein, UPF0248 family
17	19	COG1542	S	Uncharacterized conserved protein, DUF505 domain
166	194	COG1547	S	Predicted metal-dependent hydrolase
265	265	COG1550	S	Stress-induced protein YlxP, DUF503 family
767	772	COG1561	S	Uncharacterized stationary-phase protein YicC, UPF0701 family
271	283	COG1615	S	Uncharacterized membrane protein, UPF0182 family
295	564	COG1649	S	Uncharacterized lipoprotein YddW, UPF0748 family
85	89	COG1655	S	Uncharacterized conserved protein, DUF2225 family
6	7	COG1667	S	Uncharacterized conserved protein AF1501, DUF2226 family
471	472	COG1671	S	Uncharacterized conserved protein YaiI, UPF0178 family
354	432	COG1683	S	Uncharacterized conserved protein YbbK, DUF523 family
86	86	COG1698	S	Uncharacterized conserved protein, UPF0147 family
589	875	COG1714	S	Uncharacterized membrane protein YckC, RDD family
905	2081	COG1721	S	Uncharacterized conserved protein, DUF58 family, contains vWF domain
112	112	COG1728	S	Uncharacterized conserved protein YaaR, TM1646/DUF327 family
60	114	COG1745	S	Uncharacterized metal-binding protein MJ1132, UPF0058 family
28	28	COG1747	S	Uncharacterized N-terminal domain of the transcription elongation factor GreA
567	568	COG1754	S	Uncharacterized C-terminal domain of topoisomerase IA
106	108	COG1755	S	Uncharacterized conserved protein YpbQ, isoprenylcysteine carboxyl methyltransferase (ICMT) family
13	13	COG1771	S	Uncharacterized conserved protein, contains N-terminal Zn-finger domain
23	23	COG1772	S	Uncharacterized conserved protein, DUF531 domain
12	12	COG1790	S	Uncharacterized conserved protein, DUF483 domain
289	368	COG1808	S	Uncharacterized membrane protein AF0785, contains DUF389 domain
30	56	COG1810	S	Uncharacterized conserved protein, DUF166 domain
243	269	COG1811	S	Uncharacterized membrane protein YqgA, affects biofilm formation
22	22	COG1844	S	Uncharacterized conserved protein, DUF356 domain
119	119	COG1849	S	Uncharacterized conserved protein
9	9	COG1851	S	Uncharacterized conserved protein, UPF0128 family
545	552	COG1872	S	Uncharacterized conserved protein YggU, UPF0235/DUF167 family
62	96	COG1885	S	Uncharacterized conserved protein, UPF0212 family
80	80	COG1888	S	Uncharacterized conserved protein, DUF211 domain
134	145	COG1915	S	Uncharacterized conserved protein AF1278, contains saccharopine dehydrogenase N-terminal (SDHN) domain
167	176	COG1916	S	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
29	29	COG1935	S	Uncharacterized conserved protein, DUF473 domain
473	556	COG1950	S	Uncharacterized membrane protein YvlD, DUF360 family
68	111	COG1967	S	Uncharacterized membrane protein
199	344	COG2006	S	Uncharacterized conserved protein, DUF362 family
128	160	COG2014	S	Uncharacterized conserved protein, contains DUF4213 and DUF364 domains
35	35	COG2029	S	Uncharacterized conserved protein, DUF366 domain
44	54	COG2034	S	Uncharacterized membrane protein, DUF131 family
287	337	COG2035	S	Uncharacterized membrane protein, DUF368 family
106	174	COG2043	S	Uncharacterized conserved protein, DUF169 family
45	46	COG2083	S	Uncharacterized conserved protein, UPF0216 family
99	100	COG2090	S	Uncharacterized conserved protein, DUF371 domain
116	121	COG2108	S	Uncharacterized radical SAM domain-containing protein
202	213	COG2121	S	Uncharacterized conserved protein, lysophospholipid acyltransferase (LPLAT) superfamily
116	121	COG2122	S	Uncharacterized conserved protein, UPF0280 family, ApbE superfamily
264	306	COG2149	S	Uncharacterized membrane protein YidH, DUF202 family
142	158	COG2155	S	Uncharacterized membrane protein YuzA, DUF378 family
108	140	COG2237	S	Uncharacterized membrane protein
27	36	COG2245	S	Uncharacterized membrane protein, contains DUF996 domain
667	1341	COG2259	S	Uncharacterized membrane protein YphA, DoxX/SURF4 family
353	420	COG2268	S	Uncharacterized membrane protein YqiK, contains Band7/PHB/SPFH domain
427	629	COG2307	S	Uncharacterized conserved protein, Alpha-E superfamily
294	464	COG2311	S	Uncharacterized membrane protein YeiB
392	673	COG2323	S	Uncharacterized membrane protein YcaP, DUF421 family
178	184	COG2324	S	Uncharacterized membrane protein
306	427	COG2343	S	Uncharacterized conserved protein, DUF427 family
143	194	COG2359	S	Stage V sporulation protein SpoVS, predicted DNA-binding, AlbA superfamily
473	498	COG2363	S	Uncharacterized membrane protein YgdD, TMEM256/DUF423 family
248	326	COG2364	S	Uncharacterized membrane protein YczE
43	44	COG2383	S	Uncharacterized membrane protein, Fun14 family
63	63	COG2389	S	Uncharacterized metal-binding protein, DUF2227 family
105	105	COG2412	S	Uncharacterized conserved protein, DUF424 domain
301	393	COG2425	S	Uncharacterized conserved protein, contains a von Willebrand factor type A (vWA) domain
104	113	COG2426	S	Uncharacterized membrane protein
113	172	COG2427	S	Uncharacterized conserved protein YjgD, DUF1641 family
47	53	COG2430	S	Uncharacterized conserved protein, DUF432 domain
57	57	COG2456	S	Uncharacterized conserved protein, DUF2304 domain
136	139	COG2457	S	Uncharacterized conserved protein, DUF447 domain
123	188	COG2604	S	Uncharacterized conserved protein
136	146	COG2707	S	Uncharacterized membrane protein, DUF441 family
241	257	COG2733	S	Uncharacterized membrane-anchored protein YjiN, DUF445 family
236	424	COG2768	S	Uncharacterized Fe-S cluster protein
467	476	COG2802	S	Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily
42	42	COG2830	S	Uncharacterized conserved protein, DUF452 domain
374	407	COG2832	S	Uncharacterized membrane protein YbaN, DUF454 family
220	226	COG2833	S	Uncharacterized protein, contains ferritin-like DUF455 domain
395	436	COG2836	S	Uncharacterized membrane protein, DsbD domain
206	206	COG2839	S	Uncharacterized conserved protein YqgC, DUF456 family
195	213	COG2841	S	Uncharacterized conserved protein YdcH, DUF465 family
104	111	COG2845	S	Uncharacterized conserved protein, DUF459 domain
587	701	COG2855	S	Uncharacterized membrane protein YadS, UPF0324 family
697	793	COG2860	S	Uncharacterized membrane protein YeiH
308	332	COG2862	S	Uncharacterized membrane protein YqhA
189	190	COG2868	S	Uncharacterized conserved protein YsxB, DUF464 family
197	220	COG2879	S	Uncharacterized short protein YbdD, DUF466 family
338	345	COG2900	S	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)
208	207	COG2922	S	Uncharacterized conserved protein Smg, DUF494 family
80	78	COG2926	S	Uncharacterized conserved protein YeeX, DUF496 family
464	549	COG2928	S	Uncharacterized membrane protein
48	52	COG2952	S	Uncharacterized conserved protein, DUF507 domain
40	40	COG2958	S	Uncharacterized conserved protein
399	479	COG2966	S	Uncharacterized membrane protein YjjP, DUF1212 family
585	657	COG2968	S	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain
167	180	COG2979	S	Uncharacterized membrane protein YebE, DUF533 family
98	132	COG2990	S	Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family
459	487	COG3012	S	Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains
74	73	COG3013	S	Uncharacterized conserved protein YfbU, UPF0304 family
115	119	COG3014	S	Uncharacterized conserved protein
255	346	COG3019	S	Uncharacterized metal-binding protein, DUF411 family
107	107	COG3056	S	Uncharacterized lipoprotein YajG
109	108	COG3068	S	Uncharacterized conserved protein YjaG, DUF416 family
375	454	COG3071	S	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)
197	198	COG3079	S	Uncharacterized conserved protein YgfB, UPF0149 family
91	88	COG3082	S	Uncharacterized conserved protein YejL, UPF0352 family
75	76	COG3084	S	Uncharacterized conserved protein YihD, DUF1040 family
108	117	COG3085	S	Uncharacterized conserved protein YifE, UPF0438 family
137	137	COG3089	S	Uncharacterized conserved protein YheU, UPF0270 family
93	91	COG3092	S	Uncharacterized membrane protein YfbV, UPF0208 family
169	175	COG3094	S	Uncharacterized membrane protein SirB2
58	58	COG3097	S	Uncharacterized conserved protein YqfB, UPF0267 family
141	141	COG3098	S	Uncharacterized conserved protein YqcC, DUF446 family
73	73	COG3099	S	Uncharacterized conserved protein YciU, UPF0263 family
167	166	COG3100	S	Uncharacterized conserved protein YcgL, UPF0745 family
317	453	COG3108	S	Uncharacterized conserved protein YcbK, DUF882 family
71	83	COG3110	S	Uncharacterized conserved protein YccT, UPF0319 family
106	152	COG3111	S	Predicted periplasmic protein YdeI with OB-fold, BOF family
91	90	COG3112	S	Uncharacterized conserved protein YacL, UPF0231 family
151	166	COG3122	S	Uncharacterized conserved protein YaiL, DUF2058 family
141	151	COG3126	S	Uncharacterized lipoprotein YbaY
185	188	COG3132	S	Uncharacterized conserved protein YceH, UPF0502 family
137	173	COG3134	S	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain
53	53	COG3136	S	Dual-topology membrane protein YdgC, GlpM family
117	117	COG3139	S	Uncharacterized conserved protein YeaC, DUF1315 family
73	73	COG3140	S	Uncharacterized conserved protein YoaH, UPF0181 family
156	156	COG3151	S	Uncharacterized conserved protein YqiB, DUF1249 family
357	539	COG3152	S	Uncharacterized membrane protein YhaH, DUF805 family
334	366	COG3159	S	Uncharacterized conserved protein YigA, DUF484 family
294	350	COG3162	S	Uncharacterized membrane protein, DUF485 family
357	369	COG3164	S	Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains
251	256	COG3169	S	Uncharacterized membrane protein, DMT/DUF486 family
103	108	COG3171	S	Uncharacterized conserved protein YggL, DUF469 family
457	985	COG3182	S	PepSY-associated TM region
160	174	COG3184	S	Uncharacterized conserved protein, contains DUF2059 domain
369	394	COG3189	S	Uncharacterized conserved protein YeaO, DUF488 family
142	143	COG3198	S	Uncharacterized conserved protein
171	179	COG3205	S	Uncharacterized membrane protein, DUF2061 family
356	389	COG3216	S	Uncharacterized conserved protein, DUF2062 family
126	141	COG3219	S	Uncharacterized conserved protein, DUF2063 family
293	393	COG3220	S	Uncharacterized conserved protein, UPF0276 family
